ordem_id,conta_id,ativo_id,lado,quantidade,preco,data_ordem,status
494,1028,12,Compra,6,58.75,2025-02-18,Cancelada
495,1019,8,Compra,30,93.33,2025-01-06,Executada
496,1009,9,Venda,28,113.22,2025-07-02,Executada
497,1026,12,Compra,3,53.07,2025-11-27,Executada
498,1056,7,Compra,39,90.2,2025-12-19,Pendente
499,1064,3,Venda,9,32.1,2026-06-10,Executada
500,1077,6,Compra,36,19.56,2025-10-26,Executada
501,1020,12,Compra,11,54.86,2025-11-28,Executada
502,1052,9,Venda,31,106.14,2026-07-02,Executada
503,1061,1,Compra,34,23.76,2025-05-30,Executada
504,1010,4,Compra,18,14.59,2025-09-15,Executada
505,1010,12,Compra,5,58.69,2025-02-04,Executada
506,1064,2,Compra,40,20.02,2026-02-04,Executada
507,1042,12,Compra,11,61.34,2026-02-02,Executada
508,1047,9,Compra,4,108.1,2025-07-28,Executada
509,1063,4,Compra,24,13.84,2025-07-19,Executada
510,1026,11,Compra,2,145.14,2026-06-12,Executada
511,1008,7,Venda,18,86.33,2025-09-20,Executada
512,1066,12,Compra,3,49.49,2025-11-28,Executada
513,1045,8,Venda,37,72.72,2025-11-23,Executada
514,1027,9,Compra,5,98.82,2026-07-05,Executada
515,1051,4,Venda,14,12.24,2025-10-29,Executada
516,1074,8,Compra,36,73.69,2025-12-22,Executada
517,1035,1,Venda,21,30.59,2025-04-28,Executada
518,1076,12,Compra,5,61.11,2026-01-20,Executada
519,1072,8,Compra,32,77.89,2025-07-18,Executada
520,1014,2,Compra,11,19.42,2025-08-05,Executada
